class I
population/area	coverage	average_hit	pc90
South African Black	99.98%	9144.72	3375.04
average	99.98%	9144.72	3375.04
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
South African Black	0	0.02	100.0
South African Black	1	0.0	99.98
South African Black	2	0.0	99.98
South African Black	3	0.0	99.98
South African Black	4	0.0	99.98
South African Black	5	0.0	99.98
South African Black	6	0.0	99.98
South African Black	7	0.0	99.98
South African Black	8	0.0	99.98
South African Black	9	0.0	99.98
South African Black	10	0.0	99.98
South African Black	11	0.0	99.98
South African Black	12	0.0	99.98
South African Black	13	0.0	99.98
South African Black	14	0.0	99.98
South African Black	15	0.0	99.98
South African Black	16	0.0	99.98
South African Black	17	0.0	99.98
South African Black	18	0.0	99.98
South African Black	19	0.0	99.98
South African Black	20	0.0	99.98
South African Black	21	0.0	99.98
South African Black	22	0.0	99.98
South African Black	23	0.0	99.98
South African Black	24	0.0	99.98
South African Black	25	0.0	99.98
South African Black	26	0.0	99.98
South African Black	27	0.0	99.98
South African Black	28	0.0	99.98
South African Black	29	0.0	99.98
South African Black	30	0.0	99.98
South African Black	31	0.0	99.98
South African Black	32	0.0	99.98
South African Black	33	0.0	99.98
South African Black	34	0.0	99.98
South African Black	35	0.0	99.98
South African Black	36	0.0	99.98
South African Black	37	0.0	99.98
South African Black	38	0.0	99.98
South African Black	39	0.0	99.98
South African Black	40	0.0	99.98
South African Black	41	0.0	99.98
South African Black	42	0.0	99.98
South African Black	43	0.0	99.98
South African Black	44	0.0	99.98
South African Black	45	0.0	99.98
South African Black	46	0.0	99.98
South African Black	47	0.0	99.98
South African Black	48	0.0	99.98
South African Black	49	0.0	99.98
South African Black	50	0.0	99.98
South African Black	51	0.0	99.98
South African Black	52	0.0	99.98
South African Black	53	0.0	99.98
South African Black	54	0.0	99.98
South African Black	55	0.0	99.98
South African Black	56	0.0	99.98
South African Black	57	0.0	99.98
South African Black	58	0.0	99.98
South African Black	59	0.0	99.98
South African Black	60	0.0	99.98
South African Black	61	0.0	99.98
South African Black	62	0.0	99.98
South African Black	63	0.0	99.98
South African Black	64	0.0	99.98
South African Black	65	0.0	99.98
South African Black	66	0.0	99.98
South African Black	67	0.0	99.98
South African Black	68	0.0	99.98
South African Black	69	0.0	99.98
South African Black	70	0.0	99.98
South African Black	71	0.0	99.98
South African Black	72	0.0	99.98
South African Black	73	0.0	99.98
South African Black	74	0.0	99.98
South African Black	75	0.0	99.98
South African Black	76	0.0	99.98
South African Black	77	0.0	99.98
South African Black	78	0.0	99.98
South African Black	79	0.0	99.98
South African Black	80	0.0	99.98
South African Black	81	0.0	99.98
South African Black	82	0.0	99.98
South African Black	83	0.0	99.98
South African Black	84	0.0	99.98
South African Black	85	0.0	99.98
South African Black	86	0.0	99.98
South African Black	87	0.0	99.98
South African Black	88	0.0	99.98
South African Black	89	0.0	99.98
South African Black	90	0.0	99.98
South African Black	91	0.0	99.98
South African Black	92	0.0	99.98
South African Black	93	0.0	99.98
South African Black	94	0.0	99.98
South African Black	95	0.0	99.98
South African Black	96	0.0	99.98
South African Black	97	0.0	99.98
South African Black	98	0.0	99.98
South African Black	99	0.0	99.98
South African Black	100	0.0	99.98
South African Black	101	0.01	99.98
South African Black	102	0.0	99.97
South African Black	103	0.0	99.97
South African Black	104	0.04	99.97
South African Black	105	0.0	99.94
South African Black	106	0.0	99.94
South African Black	107	0.0	99.94
South African Black	108	0.0	99.94
South African Black	109	0.0	99.94
South African Black	110	0.0	99.94
South African Black	111	0.0	99.94
South African Black	112	0.0	99.94
South African Black	113	0.0	99.94
South African Black	114	0.0	99.94
South African Black	115	0.01	99.94
South African Black	116	0.0	99.93
South African Black	117	0.0	99.93
South African Black	118	0.0	99.93
South African Black	119	0.0	99.93
South African Black	120	0.0	99.93
South African Black	121	0.0	99.93
South African Black	122	0.0	99.93
South African Black	123	0.0	99.93
South African Black	124	0.0	99.93
South African Black	125	0.0	99.93
South African Black	126	0.02	99.93
South African Black	127	0.0	99.91
South African Black	128	0.0	99.91
South African Black	129	0.0	99.91
South African Black	130	0.0	99.91
South African Black	131	0.0	99.91
South African Black	132	0.0	99.91
South African Black	133	0.0	99.91
South African Black	134	0.01	99.91
South African Black	135	0.0	99.9
South African Black	136	0.0	99.9
South African Black	137	0.0	99.9
South African Black	138	0.0	99.9
South African Black	139	0.0	99.9
South African Black	140	0.0	99.9
South African Black	141	0.0	99.9
South African Black	142	0.01	99.9
South African Black	143	0.0	99.89
South African Black	144	0.0	99.89
South African Black	145	0.0	99.89
South African Black	146	0.0	99.89
South African Black	147	0.0	99.89
South African Black	148	0.0	99.89
South African Black	149	0.0	99.89
South African Black	150	0.0	99.89
South African Black	151	0.0	99.89
South African Black	152	0.0	99.89
South African Black	153	0.0	99.89
South African Black	154	0.0	99.89
South African Black	155	0.0	99.89
South African Black	156	0.0	99.89
South African Black	157	0.0	99.89
South African Black	158	0.0	99.89
South African Black	159	0.0	99.89
South African Black	160	0.0	99.89
South African Black	161	0.0	99.89
South African Black	162	0.0	99.89
South African Black	163	0.0	99.89
South African Black	164	0.0	99.89
South African Black	165	0.0	99.89
South African Black	166	0.0	99.89
South African Black	167	0.0	99.89
South African Black	168	0.05	99.89
South African Black	169	0.0	99.85
South African Black	170	0.0	99.85
South African Black	171	0.0	99.85
South African Black	172	0.0	99.85
South African Black	173	0.0	99.85
South African Black	174	0.0	99.85
South African Black	175	0.0	99.85
South African Black	176	0.0	99.85
South African Black	177	0.0	99.85
South African Black	178	0.0	99.85
South African Black	179	0.0	99.85
South African Black	180	0.0	99.85
South African Black	181	0.0	99.85
South African Black	182	0.0	99.85
South African Black	183	0.0	99.85
South African Black	184	0.0	99.85
South African Black	185	0.0	99.85
South African Black	186	0.0	99.85
South African Black	187	0.0	99.85
South African Black	188	0.0	99.84
South African Black	189	0.0	99.84
South African Black	190	0.0	99.84
South African Black	191	0.0	99.84
South African Black	192	0.0	99.84
South African Black	193	0.0	99.84
South African Black	194	0.0	99.84
South African Black	195	0.0	99.84
South African Black	196	0.0	99.84
South African Black	197	0.0	99.84
South African Black	198	0.0	99.84
South African Black	199	0.0	99.84
South African Black	200	0.0	99.84
South African Black	201	0.0	99.84
South African Black	202	0.0	99.84
South African Black	203	0.0	99.84
South African Black	204	0.0	99.84
South African Black	205	0.01	99.84
South African Black	206	0.0	99.84
South African Black	207	0.0	99.84
South African Black	208	0.0	99.84
South African Black	209	0.0	99.84
South African Black	210	0.0	99.84
South African Black	211	0.0	99.84
South African Black	212	0.0	99.84
South African Black	213	0.0	99.84
South African Black	214	0.0	99.84
South African Black	215	0.0	99.84
South African Black	216	0.0	99.84
South African Black	217	0.0	99.84
South African Black	218	0.0	99.84
South African Black	219	0.01	99.84
South African Black	220	0.0	99.82
South African Black	221	0.01	99.82
South African Black	222	0.0	99.81
South African Black	223	0.0	99.81
South African Black	224	0.0	99.81
South African Black	225	0.0	99.81
South African Black	226	0.0	99.81
South African Black	227	0.0	99.81
South African Black	228	0.0	99.81
South African Black	229	0.0	99.81
South African Black	230	0.01	99.81
South African Black	231	0.0	99.8
South African Black	232	0.0	99.8
South African Black	233	0.0	99.8
South African Black	234	0.0	99.8
South African Black	235	0.0	99.8
South African Black	236	0.0	99.79
South African Black	237	0.0	99.79
South African Black	238	0.01	99.79
South African Black	239	0.0	99.79
South African Black	240	0.0	99.79
South African Black	241	0.0	99.79
South African Black	242	0.0	99.78
South African Black	243	0.01	99.78
South African Black	244	0.0	99.78
South African Black	245	0.0	99.78
South African Black	246	0.01	99.78
South African Black	247	0.0	99.77
South African Black	248	0.0	99.77
South African Black	249	0.0	99.77
South African Black	250	0.0	99.77
South African Black	251	0.0	99.77
South African Black	252	0.0	99.77
South African Black	253	0.0	99.77
South African Black	254	0.0	99.77
South African Black	255	0.0	99.77
South African Black	256	0.0	99.77
South African Black	257	0.0	99.77
South African Black	258	0.0	99.76
South African Black	259	0.0	99.76
South African Black	260	0.0	99.76
South African Black	261	0.0	99.76
South African Black	262	0.0	99.76
South African Black	263	0.0	99.76
South African Black	264	0.0	99.76
South African Black	265	0.0	99.76
South African Black	266	0.0	99.76
South African Black	267	0.0	99.76
South African Black	268	0.0	99.76
South African Black	269	0.01	99.76
South African Black	270	0.0	99.75
South African Black	271	0.0	99.75
South African Black	272	0.02	99.75
South African Black	273	0.0	99.73
South African Black	274	0.0	99.73
South African Black	275	0.0	99.73
South African Black	276	0.0	99.73
South African Black	277	0.0	99.72
South African Black	278	0.0	99.72
South African Black	279	0.0	99.72
South African Black	280	0.0	99.72
South African Black	281	0.0	99.72
South African Black	282	0.0	99.72
South African Black	283	0.01	99.72
South African Black	284	0.0	99.71
South African Black	285	0.0	99.71
South African Black	286	0.0	99.71
South African Black	287	0.0	99.71
South African Black	288	0.0	99.71
South African Black	289	0.0	99.71
South African Black	290	0.0	99.71
South African Black	291	0.0	99.71
South African Black	292	0.0	99.7
South African Black	293	0.0	99.7
South African Black	294	0.01	99.7
South African Black	295	0.0	99.69
South African Black	296	0.0	99.69
South African Black	297	0.0	99.69
South African Black	298	0.0	99.69
South African Black	299	0.0	99.69
South African Black	300	0.0	99.69
South African Black	301	0.0	99.69
South African Black	302	0.01	99.69
South African Black	303	0.0	99.68
South African Black	304	0.0	99.68
South African Black	305	0.0	99.68
South African Black	306	0.0	99.68
South African Black	307	0.0	99.68
South African Black	308	0.0	99.68
South African Black	309	0.0	99.68
South African Black	310	0.01	99.68
South African Black	311	0.0	99.68
South African Black	312	0.0	99.68
South African Black	313	0.0	99.68
South African Black	314	0.0	99.67
South African Black	315	0.0	99.67
South African Black	316	0.0	99.67
South African Black	317	0.0	99.67
South African Black	318	0.0	99.67
South African Black	319	0.0	99.67
South African Black	320	0.0	99.67
South African Black	321	0.0	99.67
South African Black	322	0.01	99.67
South African Black	323	0.0	99.66
South African Black	324	0.0	99.66
South African Black	325	0.02	99.66
South African Black	326	0.0	99.64
South African Black	327	0.0	99.64
South African Black	328	0.0	99.64
South African Black	329	0.0	99.64
South African Black	330	0.0	99.64
South African Black	331	0.0	99.64
South African Black	332	0.03	99.64
South African Black	333	0.0	99.61
South African Black	334	0.0	99.61
South African Black	335	0.0	99.61
South African Black	336	0.0	99.61
South African Black	337	0.0	99.61
South African Black	338	0.0	99.61
South African Black	339	0.0	99.61
South African Black	340	0.0	99.6
South African Black	341	0.0	99.6
South African Black	342	0.0	99.6
South African Black	343	0.0	99.6
South African Black	344	0.0	99.6
South African Black	345	0.0	99.6
South African Black	346	0.0	99.6
South African Black	347	0.02	99.6
South African Black	348	0.0	99.58
South African Black	349	0.0	99.58
South African Black	350	0.0	99.58
South African Black	351	0.0	99.58
South African Black	352	0.0	99.58
South African Black	353	0.0	99.58
South African Black	354	0.0	99.58
South African Black	355	0.01	99.58
South African Black	356	0.0	99.57
South African Black	357	0.0	99.57
South African Black	358	0.0	99.57
South African Black	359	0.0	99.57
South African Black	360	0.0	99.57
South African Black	361	0.01	99.57
South African Black	362	0.0	99.56
South African Black	363	0.01	99.56
South African Black	364	0.0	99.55
South African Black	365	0.0	99.55
South African Black	366	0.0	99.55
South African Black	367	0.0	99.55
South African Black	368	0.0	99.55
South African Black	369	0.0	99.55
South African Black	370	0.0	99.55
South African Black	371	0.0	99.55
South African Black	372	0.0	99.55
South African Black	373	0.0	99.55
South African Black	374	0.0	99.55
South African Black	375	0.0	99.55
South African Black	376	0.0	99.55
South African Black	377	0.0	99.54
South African Black	378	0.0	99.54
South African Black	379	0.0	99.54
South African Black	380	0.0	99.54
South African Black	381	0.0	99.54
South African Black	382	0.0	99.54
South African Black	383	0.0	99.54
South African Black	384	0.0	99.54
South African Black	385	0.0	99.54
South African Black	386	0.0	99.53
South African Black	387	0.01	99.53
South African Black	388	0.0	99.53
South African Black	389	0.03	99.53
South African Black	390	0.0	99.5
South African Black	391	0.0	99.5
South African Black	392	0.0	99.5
South African Black	393	0.0	99.5
South African Black	394	0.0	99.5
South African Black	395	0.0	99.5
South African Black	396	0.0	99.5
South African Black	397	0.0	99.5
South African Black	398	0.0	99.5
South African Black	399	0.0	99.5
South African Black	400	0.0	99.5
South African Black	401	0.0	99.5
South African Black	402	0.0	99.49
South African Black	403	0.0	99.49
South African Black	404	0.0	99.49
South African Black	405	0.0	99.49
South African Black	406	0.0	99.49
South African Black	407	0.0	99.49
South African Black	408	0.0	99.49
South African Black	409	0.0	99.49
South African Black	410	0.0	99.49
South African Black	411	0.01	99.49
South African Black	412	0.0	99.48
South African Black	413	0.0	99.48
South African Black	414	0.0	99.48
South African Black	415	0.0	99.48
South African Black	416	0.0	99.47
South African Black	417	0.0	99.47
South African Black	418	0.0	99.47
South African Black	419	0.0	99.47
South African Black	420	0.0	99.47
South African Black	421	0.0	99.47
South African Black	422	0.0	99.47
South African Black	423	0.0	99.47
South African Black	424	0.0	99.47
South African Black	425	0.0	99.47
South African Black	426	0.0	99.47
South African Black	427	0.0	99.46
South African Black	428	0.0	99.46
South African Black	429	0.0	99.46
South African Black	430	0.0	99.46
South African Black	431	0.0	99.46
South African Black	432	0.0	99.46
South African Black	433	0.01	99.46
South African Black	434	0.0	99.46
South African Black	435	0.0	99.46
South African Black	436	0.02	99.46
South African Black	437	0.0	99.44
South African Black	438	0.0	99.44
South African Black	439	0.0	99.44
South African Black	440	0.01	99.44
South African Black	441	0.0	99.43
South African Black	442	0.0	99.43
South African Black	443	0.01	99.43
South African Black	444	0.0	99.42
South African Black	445	0.0	99.42
South African Black	446	0.0	99.42
South African Black	447	0.01	99.42
South African Black	448	0.0	99.41
South African Black	449	0.0	99.41
South African Black	450	0.0	99.41
South African Black	451	0.01	99.4
South African Black	452	0.0	99.4
South African Black	453	0.0	99.4
South African Black	454	0.0	99.4
South African Black	455	0.0	99.4
South African Black	456	0.0	99.4
South African Black	457	0.0	99.39
South African Black	458	0.01	99.39
South African Black	459	0.01	99.38
South African Black	460	0.0	99.38
South African Black	461	0.0	99.38
South African Black	462	0.01	99.38
South African Black	463	0.0	99.37
South African Black	464	0.0	99.37
South African Black	465	0.01	99.37
South African Black	466	0.01	99.36
South African Black	467	0.0	99.35
South African Black	468	0.0	99.35
South African Black	469	0.0	99.35
South African Black	470	0.0	99.35
South African Black	471	0.0	99.34
South African Black	472	0.0	99.34
South African Black	473	0.0	99.34
South African Black	474	0.01	99.34
South African Black	475	0.0	99.34
South African Black	476	0.0	99.34
South African Black	477	0.0	99.33
South African Black	478	0.0	99.33
South African Black	479	0.0	99.33
South African Black	480	0.0	99.33
South African Black	481	0.0	99.33
South African Black	482	0.0	99.33
South African Black	483	0.0	99.33
South African Black	484	0.0	99.33
South African Black	485	0.0	99.32
South African Black	486	0.0	99.32
South African Black	487	0.0	99.32
South African Black	488	0.0	99.32
South African Black	489	0.0	99.32
South African Black	490	0.0	99.31
South African Black	491	0.0	99.31
South African Black	492	0.0	99.31
South African Black	493	0.01	99.31
South African Black	494	0.0	99.29
South African Black	495	0.0	99.29
South African Black	496	0.0	99.29
South African Black	497	0.0	99.29
South African Black	498	0.0	99.29
South African Black	499	0.0	99.29
South African Black	500	0.02	99.29
South African Black	501	0.0	99.26
South African Black	502	0.0	99.26
South African Black	503	0.0	99.26
South African Black	504	0.0	99.26
South African Black	505	0.0	99.26
South African Black	506	0.0	99.26
South African Black	507	0.0	99.26
South African Black	508	0.01	99.25
South African Black	509	0.0	99.24
South African Black	510	0.0	99.24
South African Black	511	0.0	99.24
South African Black	512	0.0	99.24
South African Black	513	0.0	99.23
South African Black	514	0.0	99.23
South African Black	515	0.01	99.23
South African Black	516	0.0	99.22
South African Black	517	0.0	99.22
South African Black	518	0.0	99.22
South African Black	519	0.0	99.22
South African Black	520	0.0	99.21
South African Black	521	0.0	99.21
South African Black	522	0.0	99.21
South African Black	523	0.0	99.21
South African Black	524	0.0	99.21
South African Black	525	0.0	99.21
South African Black	526	0.0	99.21
South African Black	527	0.0	99.2
South African Black	528	0.0	99.2
South African Black	529	0.01	99.2
South African Black	530	0.0	99.19
South African Black	531	0.0	99.19
South African Black	532	0.0	99.18
South African Black	533	0.0	99.18
South African Black	534	0.0	99.18
South African Black	535	0.0	99.18
South African Black	536	0.0	99.18
South African Black	537	0.0	99.18
South African Black	538	0.0	99.18
South African Black	539	0.0	99.18
South African Black	540	0.0	99.18
South African Black	541	0.0	99.18
South African Black	542	0.0	99.18
South African Black	543	0.0	99.18
South African Black	544	0.0	99.18
South African Black	545	0.0	99.17
South African Black	546	0.0	99.17
South African Black	547	0.0	99.17
South African Black	548	0.0	99.17
South African Black	549	0.0	99.16
South African Black	550	0.0	99.16
South African Black	551	0.0	99.16
South African Black	552	0.0	99.16
South African Black	553	0.02	99.16
South African Black	554	0.0	99.14
South African Black	555	0.0	99.14
South African Black	556	0.0	99.14
South African Black	557	0.0	99.13
South African Black	558	0.0	99.13
South African Black	559	0.0	99.13
South African Black	560	0.0	99.13
South African Black	561	0.0	99.13
South African Black	562	0.0	99.13
South African Black	563	0.0	99.13
South African Black	564	0.0	99.13
South African Black	565	0.0	99.13
South African Black	566	0.0	99.13
South African Black	567	0.0	99.12
South African Black	568	0.01	99.12
South African Black	569	0.0	99.12
South African Black	570	0.0	99.12
South African Black	571	0.0	99.12
South African Black	572	0.0	99.12
South African Black	573	0.0	99.12
South African Black	574	0.0	99.11
South African Black	575	0.01	99.11
South African Black	576	0.0	99.1
South African Black	577	0.0	99.1
South African Black	578	0.0	99.1
South African Black	579	0.0	99.1
South African Black	580	0.0	99.1
South African Black	581	0.0	99.09
South African Black	582	0.0	99.09
South African Black	583	0.0	99.09
South African Black	584	0.0	99.09
South African Black	585	0.0	99.09
South African Black	586	0.0	99.08
South African Black	587	0.0	99.08
South African Black	588	0.0	99.08
South African Black	589	0.0	99.08
South African Black	590	0.0	99.08
South African Black	591	0.0	99.08
South African Black	592	0.0	99.07
South African Black	593	0.0	99.07
South African Black	594	0.0	99.07
South African Black	595	0.0	99.07
South African Black	596	0.0	99.07
South African Black	597	0.0	99.07
South African Black	598	0.0	99.07
South African Black	599	0.0	99.07
South African Black	600	0.0	99.06
South African Black	601	0.0	99.06
South African Black	602	0.0	99.06
South African Black	603	0.0	99.06
South African Black	604	0.0	99.06
South African Black	605	0.0	99.06
South African Black	606	0.0	99.06
South African Black	607	0.0	99.05
South African Black	608	0.0	99.05
South African Black	609	0.01	99.05
South African Black	610	0.0	99.04
South African Black	611	0.01	99.04
South African Black	612	0.03	99.04
South African Black	613	0.0	99.01
South African Black	614	0.0	99.01
South African Black	615	0.01	99.01
South African Black	616	0.0	99.0
South African Black	617	0.0	99.0
South African Black	618	0.0	99.0
South African Black	619	0.0	99.0
South African Black	620	0.0	99.0
South African Black	621	0.0	99.0
South African Black	622	0.0	99.0
South African Black	623	0.01	99.0
South African Black	624	0.0	98.99
South African Black	625	0.0	98.99
South African Black	626	0.0	98.99
South African Black	627	0.0	98.98
South African Black	628	0.0	98.98
South African Black	629	0.0	98.98
South African Black	630	0.01	98.98
South African Black	631	0.0	98.98
South African Black	632	0.01	98.98
South African Black	633	0.01	98.97
South African Black	634	0.01	98.96
South African Black	635	0.0	98.95
South African Black	636	0.0	98.95
South African Black	637	0.0	98.95
South African Black	638	0.0	98.95
South African Black	639	0.0	98.95
South African Black	640	0.0	98.95
South African Black	641	0.0	98.95
South African Black	642	0.01	98.95
South African Black	643	0.0	98.94
South African Black	644	0.0	98.94
South African Black	645	0.0	98.93
South African Black	646	0.0	98.93
South African Black	647	0.0	98.93
South African Black	648	0.0	98.93
South African Black	649	0.0	98.93
South African Black	650	0.01	98.93
South African Black	651	0.0	98.92
South African Black	652	0.02	98.92
South African Black	653	0.0	98.91
South African Black	654	0.0	98.91
South African Black	655	0.0	98.9
South African Black	656	0.0	98.9
South African Black	657	0.01	98.9
South African Black	658	0.0	98.89
South African Black	659	0.0	98.89
South African Black	660	0.0	98.89
South African Black	661	0.0	98.89
South African Black	662	0.0	98.88
South African Black	663	0.0	98.88
