code,name
3229,Brazil Sao Paulo Bauru Mixed (n=3542)
1365,Brazil Sao Paulo Mixed (n=239)
3224,Brazil South Caucasian (n=73)
3599,Brazil South East Cord Blood (n=11409)
2833,Brazil South Ribeirao Preto (n=184)
2212,Brazil Southeast Campinas Mixed (n=99)
1573,Brazil Southeast Caucasian (n=103)
1577,Brazil Southeast Mixed Race (n=42)
1698,Brazil Terena (n=60)
2054,Brazil Ticuna (n=50)
3327,Brazil Vale do Ribeira Quilombos (n=144)
1314,Bulgaria (n=55)
2015,Bulgaria Romani (n=13)
2149,Burkina Faso Fulani (n=49)
2150,Burkina Faso Mossi (n=53)
2151,Burkina Faso Rimaibe (n=47)
1905,Cameroon (n=126)
1995,Cameroon Baka Pygmy (n=10)
2155,Cameroon Bakola Pygmy (n=50)
1992,Cameroon Bamileke (n=77)
2852,Cameroon Bamileke 2 (n=35)
1993,Cameroon Beti (n=174)
2851,Cameroon Ewondo (n=38)
2854,Cameroon Podokwo (n=43)
1268,Cameroon Saa (n=172)
1994,Cameroon Sawa (n=13)
2853,Cameroon Uldeme (n=35)
2120,Cameroon Yaounde (n=92)
1287,Canada British Columbia Athabaskan (n=62)
1288,Canada British Columbia Penutian (n=26)
3715,Canada Chipewyan NA-DHS_2 (G) (n=25)
3714,Canada Cree NA-DHS_3 (G) (n=18)
3713,Canada Ojibwa NA-DHS_4 (G) (n=16)
1981,Cape Verde Northwestern Islands (n=62)
1982,Cape Verde Southeastern Islands (n=62)
1591,Central African Republic Aka Pygmy (n=93)
2156,Central African Republic Mbenzele Pygmy (n=36)
2638,Chile Easter Island (n=21)
1921,Chile Huilliche (n=40)
3695,Chile Huilliche NA-DHS_14 (G) (n=20)
3614,Chile Mapuche (n=66)
3354,Chile Santiago (n=920)
2183,Chile Santiago Mixed (n=70)
2496,Chile Santiago pop 2 (n=124)
1693,China Beijing (n=67)
1873,China Beijing and Guangzhou (n=1592)
1691,China Beijing and Xian (n=171)
3168,China Beijing Han (n=180)
2762,China Beijing pop 2 (n=826)
2002,China Beijing Shijiazhuang Tianjian Han (n=618)
2377,China Canton Han (n=264)
2410,China Guangdong Province (n=403)
2236,China Guangdong Province Meizhou Han (n=100)
2214,China Guangxi Region Maonan (n=108)
1694,China Guangzhou (n=102)
1665,China Guangzhou Han (n=106)
2499,China Guangzhou Han pop 2 (n=86)
2407,China Guizhou Province Bouyei (n=109)
2003,China Guizhou Province Miao (n=85)
2406,China Guizhou Province Miao pop 2 (n=85)
2408,China Guizhou Province Shui (n=153)
2007,China Han (n=314)
3194,China Han Guandong Province (n=208)
2868,China Han HIV negative (n=72)
1919,China Harbin Korean (n=201)
1918,China Harbin Manchu (n=172)
1825,China Harbin Manchu pop 2 (n=50)
2870,China Henan HIV negative (n=16)
1690,China Hong Kong and Singapore (n=135)
3725,China Hubei Han (n=3732)
3569,China Inner Mongolia Autonomous Region Northeast (n=496)
2256,China Inner Mongolia Region (n=102)
2383,China Inner Mongolia Region Ewenki (n=94)
3245,China Jiangsu Han (n=3238)
2381,China Jiangsu Province (n=20248)
3160,China Jiangsu Province Han (n=334)
2239,China Jiangxi Province (n=98)
3684,China Jingpo Minority (n=105)
1371,China Lijiang Naxi (n=100)
3556,China Marrow Donor Registry (n=600)
1961,China North Han (n=105)
2769,China North Han pop 2 (n=567)
3239,China pop1 (n=103)
1436,China Pumi (n=51)
2257,China Qinghai Province Hui (n=110)
2770,China Shaanxi Province Han (n=10000)
2668,China Shandong Province (n=7418)
1925,China Shandong Province Han (n=98)
1820,China Shandong Province Linqu County (n=139)
2234,China Shanghai (n=26266)
2532,China Shanghai pop 2 (n=40)
2785,China Shanghai pop 3 (n=58)
2872,China Shanxi HIV negative (n=22)
2874,China Sichuan HIV negative (n=34)
2060,China South Han (n=284)
2768,China South Han pop 2 (n=1098)
2695,China Southwest Dai (n=124)
2162,China Tibet Region Tibetan (n=158)
1906,China Urumqi Han (n=59)
1907,China Urumqi Kazak (n=42)
1908,China Urumqi Uyghur (n=57)
2865,China Uyghur HIV negative (n=19)
2497,China Wanwei, Wutou and Shanxin Islands Jing (n=138)
1389,China Wuhan (n=121)
1692,China Xinjiang Province Uyghur (n=92)
1435,China Yichun (n=76)
3226,China Yunnan Bulang (n=116)
3227,China Yunnan Hani (n=150)
2484,China Yunnan Province Bai (n=128)
2402,China Yunnan Province Blang (n=94)
2087,China Yunnan Province Dai (n=74)
2345,China Yunnan Province Drung (n=70)
2636,China Yunnan Province Han (n=101)
1996,China Yunnan Province Han pop 2 (n=129)
1973,China Yunnan Province Hani (n=47)
2416,China Yunnan Province Jinuo (n=109)
2344,China Yunnan Province Lahu (n=70)
2224,China Yunnan Province Lisu (n=111)
2400,China Yunnan Province Naxi (n=118)
2401,China Yunnan Province Naxi pop 2 (n=96)
2225,China Yunnan Province Nu (n=107)
2490,China Yunnan Province Nu pop 2 (n=72)
2343,China Yunnan Province Pumi (n=63)
2403,China Yunnan Province Puyi (n=76)
2417,China Yunnan Province Wa (n=119)
2004,China Yunnan Province Yao (n=66)
3749,China Zhejiang Han (n=1734)
3748,China Zhejiang Han pop 2 (n=833)
3735,China, Xinjiang Uyghur Autonomous Region Han (n=70)
3732,China, Xinjiang Uyghur Autonomous Region Hui (n=40)
3733,China, Xinjiang Uyghur Autonomous Region Kazakh (n=52)
3734,China, Xinjiang Uyghur Autonomous Region Uyghur (n=71)
1848,Colombia Amazon Region Coreguaje (n=30)
2525,Colombia Amazon Region Coreguaje pop 2 (n=45)
2524,Colombia Amazon Region Vaupes (n=46)
2346,Colombia Antioquia Paisa (n=100)
3705,Colombia Arhuaco NA-DHS_16 (G) (n=17)
3412,Colombia Barranquilla (n=188)
1651,Colombia Bogota and Medellin Mestizo (n=65)
3604,Colombia Bogotá Cord Blood (n=1463)
1854,Colombia East Amazon Region Nukak (n=20)
3702,Colombia Embera NA-DHS_19 (G) (n=14)
2530,Colombia Guajira Desert Wayuu (n=54)
1830,Colombia Guajira Peninsula Wayuu (n=88)
3696,Colombia Inga NA-DHS_11 (G) (n=16)
3364,Colombia Jaidukama (n=39)
3704,Colombia Kogi NA-DHS_17 (G) (n=15)
3426,Colombia North Chimila Amerindians (n=47)
1855,Colombia North Eastern Plains Sikuani (n=27)
3433,Colombia North Wiwa El Encanto (n=52)
