class I
population/area	coverage	average_hit	pc90
Australia Kimberly Aborigine	100.0%	27623.18	13422.93
average	100.0%	27623.18	13422.93
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Australia Kimberly Aborigine	0	0.0	100.0
Australia Kimberly Aborigine	1	0.0	100.0
Australia Kimberly Aborigine	2	0.0	100.0
Australia Kimberly Aborigine	3	0.0	100.0
Australia Kimberly Aborigine	4	0.0	100.0
Australia Kimberly Aborigine	5	0.0	100.0
Australia Kimberly Aborigine	6	0.0	100.0
Australia Kimberly Aborigine	7	0.0	100.0
Australia Kimberly Aborigine	8	0.0	100.0
Australia Kimberly Aborigine	9	0.0	100.0
Australia Kimberly Aborigine	10	0.0	100.0
Australia Kimberly Aborigine	11	0.0	100.0
Australia Kimberly Aborigine	12	0.0	100.0
Australia Kimberly Aborigine	13	0.0	100.0
Australia Kimberly Aborigine	14	0.0	100.0
Australia Kimberly Aborigine	15	0.0	100.0
Australia Kimberly Aborigine	16	0.0	100.0
Australia Kimberly Aborigine	17	0.0	100.0
Australia Kimberly Aborigine	18	0.0	100.0
Australia Kimberly Aborigine	19	0.0	100.0
Australia Kimberly Aborigine	20	0.0	100.0
Australia Kimberly Aborigine	21	0.0	100.0
Australia Kimberly Aborigine	22	0.0	100.0
Australia Kimberly Aborigine	23	0.0	100.0
Australia Kimberly Aborigine	24	0.0	100.0
Australia Kimberly Aborigine	25	0.0	100.0
Australia Kimberly Aborigine	26	0.0	100.0
Australia Kimberly Aborigine	27	0.0	100.0
Australia Kimberly Aborigine	28	0.0	100.0
Australia Kimberly Aborigine	29	0.0	100.0
Australia Kimberly Aborigine	30	0.0	100.0
Australia Kimberly Aborigine	31	0.0	100.0
Australia Kimberly Aborigine	32	0.0	100.0
Australia Kimberly Aborigine	33	0.0	100.0
Australia Kimberly Aborigine	34	0.0	100.0
Australia Kimberly Aborigine	35	0.0	100.0
Australia Kimberly Aborigine	36	0.0	100.0
Australia Kimberly Aborigine	37	0.0	100.0
Australia Kimberly Aborigine	38	0.0	100.0
Australia Kimberly Aborigine	39	0.0	100.0
Australia Kimberly Aborigine	40	0.0	100.0
Australia Kimberly Aborigine	41	0.0	100.0
Australia Kimberly Aborigine	42	0.0	100.0
Australia Kimberly Aborigine	43	0.0	100.0
Australia Kimberly Aborigine	44	0.0	100.0
Australia Kimberly Aborigine	45	0.0	100.0
Australia Kimberly Aborigine	46	0.0	100.0
Australia Kimberly Aborigine	47	0.0	100.0
Australia Kimberly Aborigine	48	0.0	100.0
Australia Kimberly Aborigine	49	0.0	100.0
Australia Kimberly Aborigine	50	0.0	100.0
Australia Kimberly Aborigine	51	0.0	100.0
Australia Kimberly Aborigine	52	0.0	100.0
Australia Kimberly Aborigine	53	0.0	100.0
Australia Kimberly Aborigine	54	0.0	100.0
Australia Kimberly Aborigine	55	0.0	100.0
Australia Kimberly Aborigine	56	0.0	100.0
Australia Kimberly Aborigine	57	0.0	100.0
Australia Kimberly Aborigine	58	0.0	100.0
Australia Kimberly Aborigine	59	0.0	100.0
Australia Kimberly Aborigine	60	0.0	100.0
Australia Kimberly Aborigine	61	0.0	100.0
Australia Kimberly Aborigine	62	0.0	100.0
Australia Kimberly Aborigine	63	0.0	100.0
Australia Kimberly Aborigine	64	0.0	100.0
Australia Kimberly Aborigine	65	0.0	100.0
Australia Kimberly Aborigine	66	0.0	100.0
Australia Kimberly Aborigine	67	0.0	100.0
Australia Kimberly Aborigine	68	0.0	100.0
Australia Kimberly Aborigine	69	0.0	100.0
Australia Kimberly Aborigine	70	0.0	100.0
Australia Kimberly Aborigine	71	0.0	100.0
Australia Kimberly Aborigine	72	0.0	100.0
Australia Kimberly Aborigine	73	0.0	100.0
Australia Kimberly Aborigine	74	0.0	100.0
Australia Kimberly Aborigine	75	0.0	100.0
Australia Kimberly Aborigine	76	0.0	100.0
Australia Kimberly Aborigine	77	0.0	100.0
Australia Kimberly Aborigine	78	0.0	100.0
Australia Kimberly Aborigine	79	0.0	100.0
Australia Kimberly Aborigine	80	0.0	100.0
Australia Kimberly Aborigine	81	0.0	100.0
Australia Kimberly Aborigine	82	0.0	100.0
Australia Kimberly Aborigine	83	0.0	100.0
Australia Kimberly Aborigine	84	0.0	100.0
Australia Kimberly Aborigine	85	0.0	100.0
Australia Kimberly Aborigine	86	0.0	100.0
Australia Kimberly Aborigine	87	0.0	100.0
Australia Kimberly Aborigine	88	0.0	100.0
Australia Kimberly Aborigine	89	0.0	100.0
Australia Kimberly Aborigine	90	0.0	100.0
Australia Kimberly Aborigine	91	0.0	100.0
Australia Kimberly Aborigine	92	0.0	100.0
Australia Kimberly Aborigine	93	0.0	100.0
Australia Kimberly Aborigine	94	0.0	100.0
Australia Kimberly Aborigine	95	0.0	100.0
Australia Kimberly Aborigine	96	0.0	100.0
Australia Kimberly Aborigine	97	0.0	100.0
Australia Kimberly Aborigine	98	0.0	100.0
Australia Kimberly Aborigine	99	0.0	100.0
Australia Kimberly Aborigine	100	0.0	100.0
Australia Kimberly Aborigine	101	0.0	100.0
Australia Kimberly Aborigine	102	0.0	100.0
Australia Kimberly Aborigine	103	0.0	100.0
Australia Kimberly Aborigine	104	0.0	100.0
Australia Kimberly Aborigine	105	0.0	100.0
Australia Kimberly Aborigine	106	0.0	100.0
Australia Kimberly Aborigine	107	0.0	100.0
Australia Kimberly Aborigine	108	0.0	100.0
Australia Kimberly Aborigine	109	0.0	100.0
